iShares Global Clean Energy ETF
Fund Holdings as of,"May 26, 2022"
Inception Date,"Jun 24, 2008"
Shares Outstanding,"252,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"002080","SINOMA SCIENCE & TECHNOLOGY LTD A","Equity","Materials","Equity","4,073,739.37","0.08","4,073,739.37","1,257,500.00","3.24","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"SUPER.R","SUPER ENERGY CORPORATION NON-VOTIN","Equity","Utilities","Equity","3,957,751.77","0.08","3,957,751.77","162,995,000.00","0.02","Thailand","Stock Exchange Of Thailand","USD","34.18","THB","-"
"6244","MOTECH INDUSTRIES INC","Equity","Information Technology","Equity","3,792,638.06","0.08","3,792,638.06","3,870,000.00","0.98","Taiwan","Gretai Securities Market","USD","29.49","TWD","-"
"300118","RISEN ENERGY LTD A","Equity","Information Technology","Equity","3,450,632.18","0.07","3,450,632.18","881,800.00","3.91","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"002531","TITAN WIND ENERGY (SUZHOU) LTD A","Equity","Industrials","Equity","3,428,439.39","0.07","3,428,439.39","1,756,900.00","1.95","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"000591","CECEP SOLAR ENERGY LTD A","Equity","Utilities","Equity","3,304,340.38","0.07","3,304,340.38","3,018,700.00","1.09","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"601016","CECEP WIND-POWER CORP A","Equity","Utilities","Equity","3,278,519.01","0.07","3,278,519.01","5,038,600.00","0.65","China","Shanghai Stock Exchange","USD","6.74","CNY","-"
"FTCI","FTC SOLAR INC","Equity","Industrials","Equity","2,229,716.15","0.05","2,229,716.15","537,281.00","4.15","United States","NASDAQ","USD","1.00","USD","-"
"002610","JIANGSU AKCOME SCIENCE TECHNOLOGY","Equity","Information Technology","Equity","2,214,733.84","0.04","2,214,733.84","4,371,000.00","0.51","China","Shenzhen Stock Exchange","USD","6.74","CNY","-"
"ILS","ILS CASH","Cash","Cash and/or Derivatives","Cash","2,201,555.92","0.04","2,201,555.92","7,373,561.00","29.86","Israel","-","USD","3.35","ILS","-"
"EUR","EUR CASH","Cash","Cash and/or Derivatives","Cash","1,893,077.12","0.04","1,893,077.12","1,766,342.00","107.18","European Union","-","USD","0.93","EUR","-"
"BRL","BRL CASH","Cash","Cash and/or Derivatives","Cash","1,698,326.29","0.03","1,698,326.29","8,115,962.00","20.93","Brazil","-","USD","4.78","BRL","-"
"DKK","DKK CASH","Cash","Cash and/or Derivatives","Cash","1,270,327.05","0.03","1,270,327.05","8,819,119.00","14.40","Denmark","-","USD","6.94","DKK","-"
"601330","DYNAGREEN ENVIRONMENTAL PROTECTION","Equity","Industrials","Equity","1,047,452.45","0.02","1,047,452.45","962,100.00","1.09","China","Shanghai Stock Exchange","USD","6.74","CNY","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Cash Collateral and Margins","Cash and/or Derivatives","Cash Collateral and Margins","904,000.00","0.02","904,000.00","904,000.00","100.00","United Kingdom","-","USD","1.00","USD","May 28, 2019"
"KRW","KRW CASH","Cash","Cash and/or Derivatives","Cash","896,469.72","0.02","896,469.72","1,135,827,134.00","0.08","Korea (South)","-","USD","1,267.00","KRW","-"
"CNH","CNH CASH","Cash","Cash and/or Derivatives","Cash","655,281.81","0.01","655,281.81","4,435,897.00","14.77","China","-","USD","6.77","CNH","Dec 31, 1989"
"CHF","CHF CASH","Cash","Cash and/or Derivatives","Cash","572,887.16","0.01","572,887.16","550,344.00","104.10","Switzerland","-","USD","0.96","CHF","-"
"USD","USD CASH(Corp Act)","Cash","Cash and/or Derivatives","Cash","503,262.76","0.01","503,262.76","503,263.00","100.00","United States","-","USD","1.00","USD","-"
"TWD","TWD CASH","Cash","Cash and/or Derivatives","Cash","299,717.02","0.01","299,717.02","8,838,505.00","3.39","Taiwan","-","USD","29.49","TWD","-"
"JPY","JPY CASH","Cash","Cash and/or Derivatives","Cash","180,206.57","0.00","180,206.57","22,944,802.00","0.79","Japan","-","USD","127.33","JPY","-"
"HBCFT","CASH COLLATERAL EUR HBCFT","Cash Collateral and Margins","Cash and/or Derivatives","Cash Collateral and Margins","180,054.00","0.00","180,054.00","168,000.00","107.18","European Union","-","USD","0.93","EUR","Feb 19, 2019"
"GBP","GBP CASH","Cash","Cash and/or Derivatives","Cash","116,622.72","0.00","116,622.72","92,749.00","125.74","United Kingdom","-","USD","0.80","GBP","-"
"SEK","SEK CASH","Cash","Cash and/or Derivatives","Cash","116,381.22","0.00","116,381.22","1,148,799.00","10.13","Sweden","-","USD","9.87","SEK","-"
"HKD","HKD CASH","Cash","Cash and/or Derivatives","Cash","115,984.04","0.00","115,984.04","910,434.00","12.74","Hong Kong","-","USD","7.85","HKD","-"
"NZD","NZD CASH","Cash","Cash and/or Derivatives","Cash","109,884.75","0.00","109,884.75","170,061.00","64.61","New Zealand","-","USD","1.55","NZD","-"
"NOK","NOK CASH","Cash","Cash and/or Derivatives","Cash","96,629.06","0.00","96,629.06","923,532.00","10.46","Norway","-","USD","9.56","NOK","-"
"CAD","CAD CASH","Cash","Cash and/or Derivatives","Cash","79,596.84","0.00","79,596.84","101,856.00","78.15","Canada","-","USD","1.28","CAD","-"
"CNH","CNH CASH(CORP ACT)","Cash","Cash and/or Derivatives","Cash","36,843.57","0.00","36,843.57","249,411.00","14.77","Hong Kong","-","USD","6.77","CNH","-"
"THB","THB CASH","Cash","Cash and/or Derivatives","Cash","-68.14","0.00","-68.14","-2,329.00","2.93","Thailand","-","USD","34.18","THB","-"
"ILS","ILS/USD","FX","Cash and/or Derivatives","FX","-17.58","0.00","-17.58","-481,107.00","1.00","United States","-","USD","3.35","USD","-"
"ESM2","S&P500 EMINI JUN 22","Futures","Cash and/or Derivatives","Futures","0.00","0.00","11,356,100.00","56.00","4,055.75","-","Index And Options Market","USD","1.00","USD","-"
"MESM2","MSCI EMER MKT INDEX (ICE) JUN 22","Futures","Cash and/or Derivatives","Futures","0.00","0.00","4,510,950.00","87.00","1,037.00","-","Ice Futures U.S.","USD","1.00","USD","-"
"VGM2","EURO STOXX 50 JUN 22","Futures","Cash and/or Derivatives","Futures","0.00","0.00","1,685,305.44","42.00","4,012.65","European Union","Eurex Deutschland","USD","0.93","EUR","-"
"HSBBK","CASH COLLATERAL USD HSBSW","Cash Collateral and Margins","Cash and/or Derivatives","Cash Collateral and Margins","-1,690,880.21","-0.03","-1,690,880.21","-1,690,000.00","100.00","United States","-","USD","1.00","USD","Jan 01, 2001"
"USD","USD CASH","Cash","Cash and/or Derivatives","Cash","-13,487,460.08","-0.27","-13,487,460.08","-13,487,461.00","100.00","United States","-","USD","1.00","USD","-"
 
