index,symbol,company,earning_dates,eps_estimates,eps_reported,surprise_percent
581,MSFT,Microsoft Corporation,"Oct 28, 2010, 12 AMEDT",0.55,0.62,12.98
582,MSFT,Microsoft Corporation,"Jul 22, 2010, 12 AMEDT",0.46,0.51,9.82
583,MSFT,Microsoft Corporation,"Apr 22, 2010, 12 AMEDT",0.42,0.45,6.95
584,MSFT,Microsoft Corporation,"Jan 28, 2010, 12 AMEST",0.59,0.74,24.79
585,MSFT,Microsoft Corporation,"Oct 23, 2009, 12 AMEDT",0.32,0.4,25.76
586,MSFT,Microsoft Corporation,"Jul 23, 2009, 12 AMEDT",0.36,0.36,0.22
587,MSFT,Microsoft Corporation,"Apr 23, 2009, 12 AMEDT",0.39,0.39,0.26
588,MSFT,Microsoft Corporation,"Jan 22, 2009, 12 AMEST",0.49,0.47,-4.84
589,MSFT,Microsoft Corporation,"Oct 23, 2008, 12 AMEDT",0.47,0.48,1.84
590,MSFT,Microsoft Corporation,"Jul 17, 2008, 12 AMEDT",0.47,0.46,-2.13
591,MSFT,Microsoft Corporation,"Apr 24, 2008, 12 AMEDT",0.44,0.47,6.74
592,MSFT,Microsoft Corporation,"Jan 24, 2008, 12 AMEST",0.46,0.5,9.33
593,MSFT,Microsoft Corporation,"Oct 25, 2007, 12 AMEDT",0.39,0.45,15.38
594,MSFT,Microsoft Corporation,"Jul 19, 2007, 12 AMEDT",0.39,0.39,0.3
595,MSFT,Microsoft Corporation,"Apr 26, 2007, 12 AMEDT",0.46,0.49,6.86
596,MSFT,Microsoft Corporation,"Jan 25, 2007, 12 AMEST",0.23,0.26,11.48
597,MSFT,Microsoft Corporation,"Oct 26, 2006, 12 AMEDT",0.31,0.35,13.02
598,MSFT,Microsoft Corporation,"Jul 20, 2006, 12 AMEDT",0.3,0.31,2.63
599,MSFT,Microsoft Corporation,"Apr 27, 2006, 12 AMEDT",0.33,0.32,-2.93
600,MSFT,Microsoft Corporation,"Jan 26, 2006, 12 AMEST",0.33,0.33,-0.08
601,MSFT,Microsoft Corporation,"Oct 27, 2005, 12 AMEDT",0.3,0.31,4.14
602,MSFT,Microsoft Corporation,"Jul 21, 2005, 12 AMEDT",0.31,0.32,2.4
603,MSFT,Microsoft Corporation,"Apr 28, 2005, 12 AMEDT",0.32,0.32,0.93
604,MSFT,Microsoft Corporation,"Jan 27, 2005, 12 AMEST",0.33,0.35,6.81
605,MSFT,Microsoft Corporation,"Oct 21, 2004, 12 AMEDT",0.3,0.31,2.89
606,MSFT,Microsoft Corporation,"Jul 22, 2004, 12 AMEDT",0.29,0.28,-1.87
607,MSFT,Microsoft Corporation,"Apr 22, 2004, 12 AMEDT",0.29,0.34,19.1
608,MSFT,Microsoft Corporation,"Jan 22, 2004, 12 AMEST",0.3,0.34,13.46
609,MSFT,Microsoft Corporation,"Oct 23, 2003, 12 AMEDT",0.29,0.3,3.56
610,MSFT,Microsoft Corporation,"Jul 17, 2003, 12 AMEDT",0.24,0.23,-2.84
611,MSFT,Microsoft Corporation,"Apr 15, 2003, 12 AMEDT",0.24,0.27,13.16
612,MSFT,Microsoft Corporation,"Jan 16, 2003, 12 AMEST",0.23,0.27,14.22
613,MSFT,Microsoft Corporation,"Oct 17, 2002, 12 AMEDT",0.21,0.28,29.06
614,MSFT,Microsoft Corporation,"Jul 18, 2002, 12 AMEDT",0.21,0.21,0.8
615,MSFT,Microsoft Corporation,"Apr 18, 2002, 12 AMEDT",0.25,0.25,-3.56
616,MSFT,Microsoft Corporation,"Jan 17, 2002, 12 AMEST",0.21,0.25,15.25
617,MSFT,Microsoft Corporation,"Oct 18, 2001, 12 AMEDT",0.2,0.22,9.5
618,MSFT,Microsoft Corporation,"Jul 19, 2001, 12 AMEDT",0.21,0.22,0.75
619,MSFT,Microsoft Corporation,"Apr 19, 2001, 12 AMEDT",0.21,0.22,5.33
620,MSFT,Microsoft Corporation,"Jan 18, 2001, 12 AMEST",0.23,0.24,1.44
621,MSFT,Microsoft Corporation,"Oct 18, 2000, 12 AMEDT",0.21,0.23,11.48
622,MSFT,Microsoft Corporation,"Jul 18, 2000, 12 AMEDT",0.21,0.22,5.81
623,MSFT,Microsoft Corporation,"Apr 20, 2000, 12 AMEDT",0.2,0.22,5.27
624,MSFT,Microsoft Corporation,"Jan 18, 2000, 12 AMEST",0.21,0.24,11.27
625,MSFT,Microsoft Corporation,"Oct 19, 1999, 12 AMEDT",0.17,0.19,10.38
626,MSFT,Microsoft Corporation,"Jul 19, 1999, 12 AMEDT",0.18,0.2,12.03
627,MSFT,Microsoft Corporation,"Apr 20, 1999, 12 AMEDT",0.16,0.19,21.78
628,MSFT,Microsoft Corporation,"Jan 19, 1999, 12 AMEST",0.15,0.18,23.47
629,MSFT,Microsoft Corporation,"Oct 20, 1998, 12 AMEDT",0.12,0.14,13.84
630,MSFT,Microsoft Corporation,"Jul 16, 1998, 12 AMEDT",0.12,0.13,4.99
631,MSFT,Microsoft Corporation,"Apr 22, 1998, 12 AMEDT",0.12,0.13,5.72
632,MSFT,Microsoft Corporation,"Jan 21, 1998, 12 AMEST",0.1,0.11,3.85
633,MSFT,Microsoft Corporation,"Oct 20, 1997, 12 AMEDT",0.09,0.09,2.53
