index,symbol,company,earning_dates,eps_estimates,eps_reported,surprise_percent
109,ABT,Abbott Laboratories,"Apr 16, 2020, 3 AMEDT",0.58,0.65,11.68
110,ABT,Abbott Laboratories,"Jan 22, 2020, 2 AMEST",0.95,0.95,0.42
111,ABT,Abbott Laboratories,"Oct 16, 2019, 3 AMEDT",0.84,0.84,-0.12
112,ABT,Abbott Laboratories,"Jul 17, 2019, 3 AMEDT",0.8,0.82,2.24
113,ABT,Abbott Laboratories,"Apr 17, 2019, 3 AMEDT",0.61,0.63,2.77
114,ABT,Abbott Laboratories,"Jan 23, 2019, 2 AMEST",0.81,0.81,
115,ABT,Abbott Laboratories,"Oct 17, 2018, 3 AMEDT",0.75,0.75,0.54
116,ABT,Abbott Laboratories,"Jul 18, 2018, 3 AMEDT",0.71,0.73,2.82
117,ABT,Abbott Laboratories,"Apr 18, 2018, 3 AMEDT",0.58,0.59,1.72
118,ABT,Abbott Laboratories,"Jan 24, 2018, 2 AMEST",0.73,0.74,1.09
119,ABT,Abbott Laboratories,"Oct 18, 2017, 3 AMEDT",0.65,0.66,1.07
120,ABT,Abbott Laboratories,"Jul 20, 2017, 3 AMEDT",0.61,0.62,2.48
121,ABT,Abbott Laboratories,"Apr 19, 2017, 3 AMEDT",0.43,0.48,11.63
122,ABT,Abbott Laboratories,"Jan 25, 2017, 2 AMEST",0.65,0.65,0.62
123,ABT,Abbott Laboratories,"Oct 19, 2016, 3 AMEDT",0.58,0.59,1.55
124,ABT,Abbott Laboratories,"Jul 20, 2016, 3 AMEDT",0.53,0.55,3.19
125,ABT,Abbott Laboratories,"Apr 20, 2016, 3 AMEDT",0.39,0.41,4.59
126,ABT,Abbott Laboratories,"Jan 28, 2016, 2 AMEST",0.61,0.62,1.64
127,ABT,Abbott Laboratories,"Oct 21, 2015, 3 AMEDT",0.53,0.54,1.12
128,ABT,Abbott Laboratories,"Jul 22, 2015, 3 AMEDT",0.5,0.52,3.38
129,ABT,Abbott Laboratories,"Apr 22, 2015, 3 AMEDT",0.42,0.47,12.44
